method,N,seed,estimate
importance,64,84,0.33709450572854754
missing_half,64,84,0.04274941179689154
uniform,64,85,0.26268823851536016
importance,64,85,0.30985799886994603
missing_half,64,85,0.03283602981442002
uniform,64,86,0.34809406056236503
importance,64,86,0.343098016632016
missing_half,64,86,0.043511757570295628
uniform,64,87,0.29035575154134774
importance,64,87,0.31731291751975504
missing_half,64,87,0.036294468942668467
uniform,64,88,0.331704079537889
importance,64,88,0.33140632931820319
missing_half,64,88,0.041463009942236125
uniform,64,89,0.28607284071051287
importance,64,89,0.32079043580764105
missing_half,64,89,0.035759105088814108
uniform,64,90,0.3279995643671248
importance,64,90,0.33586496955022516
missing_half,64,90,0.0409999455458906
uniform,64,91,0.28504103695306982
importance,64,91,0.31573460567673933
missing_half,64,91,0.035630129619133727
uniform,64,92,0.36438882761155983
importance,64,92,0.34151024523058898
missing_half,64,92,0.045548603451444979
uniform,64,93,0.32434698352428243
importance,64,93,0.32853255590979286
missing_half,64,93,0.040543372940535304
uniform,64,94,0.32829402831468457
importance,64,94,0.3384319432223038
missing_half,64,94,0.041036753539335571
uniform,64,95,0.38965745381046157
importance,64,95,0.36467329978920238
missing_half,64,95,0.048707181726307697
uniform,64,96,0.35210176900874973
importance,64,96,0.33242566246961985
missing_half,64,96,0.044012721126093717
uniform,64,97,0.24553607767481819
importance,64,97,0.29941571181468701
missing_half,64,97,0.030692009709352274
uniform,64,98,0.35979925689920561
importance,64,98,0.34498963264367122
missing_half,64,98,0.044974907112400701
uniform,64,99,0.32722915096721783
importance,64,99,0.33634195174165077
missing_half,64,99,0.040903643870902229
uniform,64,100,0.27564294393429906
importance,64,100,0.30966667563699785
missing_half,64,100,0.034455367991787382
uniform,64,101,0.37400732118766489
importance,64,101,0.34724576661856088
missing_half,64,101,0.046750915148458111
uniform,64,102,0.29446670376520262
importance,64,102,0.32652774393183637
missing_half,64,102,0.036808337970650327
uniform,64,103,0.31172922096986055
importance,64,103,0.32277449905560374
missing_half,64,103,0.038966152621232569
uniform,64,104,0.25869699980753724
importance,64,104,0.30570512323229121
missing_half,64,104,0.032337124975942155
uniform,64,105,0.34423364006937318
importance,64,105,0.33759462597933571
missing_half,64,105,0.043029205008671648
uniform,64,106,0.36195740463691867
importance,64,106,0.34076989864979129
missing_half,64,106,0.045244675579614833
uniform,64,107,0.30386799670237807
importance,64,107,0.3239902629409227
missing_half,64,107,0.037983499587797259
uniform,64,108,0.27964833267134948
importance,64,108,0.3091468403316236
missing_half,64,108,0.034956041583918684
uniform,64,109,0.36775757077493115
importance,64,109,0.3431360978571823
missing_half,64,109,0.045969696346866394
uniform,64,110,0.30385349581504434
importance,64,110,0.32091886083996041
missing_half,64,110,0.037981686976880542
uniform,64,111,0.3456939507845227
importance,64,111,0.34018455140836201
missing_half,64,111,0.043211743848065337
uniform,64,112,0.37604897238420998
importance,64,112,0.34256318282742981
missing_half,64,112,0.047006121548026247
uniform,64,113,0.33952140143911969
importance,64,113,0.33334927170505335
missing_half,64,113,0.042440175179889961
uniform,64,114,0.29863085725290195
importance,64,114,0.31871939807728256
missing_half,64,114,0.037328857156612744
uniform,64,115,0.3288131503617675
importance,64,115,0.3345079730150371
missing_half,64,115,0.041101643795220938
uniform,64,116,0.33030956544927137
importance,64,116,0.32697264950346183
missing_half,64,116,0.041288695681158921
uniform,64,117,0.41204167550542842
importance,64,117,0.34593148165433429
missing_half,64,117,0.051505209438178552
uniform,64,118,0.37003088764289072
importance,64,118,0.34169766603487117
missing_half,64,118,0.046253860955361339
uniform,64,119,0.33382032694752589
importance,64,119,0.33125613794793901
missing_half,64,119,0.041727540868440736
uniform,64,120,0.37348573795332313
importance,64,120,0.34950691692481012
missing_half,64,120,0.046685717244165391
uniform,64,121,0.3589785920185633
importance,64,121,0.34748796814119043
missing_half,64,121,0.044872324002320413
uniform,64,122,0.33574443400143278
importance,64,122,0.3356882410744797
missing_half,64,122,0.041968054250179097
uniform,64,123,0.29691388780971667
importance,64,123,0.34034619695419921
missing_half,64,123,0.037114235976214584
uniform,64,124,0.33081902554227771
importance,64,124,0.33452532200659313
missing_half,64,124,0.041352378192784714
uniform,64,125,0.2989776527548616
importance,64,125,0.31049908219281841
missing_half,64,125,0.0373722065943577
uniform,64,126,0.33384050838113688
importance,64,126,0.33771319089830865
missing_half,64,126,0.04173006354764211
uniform,64,127,0.28358292074275893
importance,64,127,0.30692476615493386
missing_half,64,127,0.035447865092844866
uniform,64,128,0.32639279651801589
importance,64,128,0.33014649776804317
missing_half,64,128,0.040799099564751987
uniform,64,129,0.27297601969032204
importance,64,129,0.30518138783661314
missing_half,64,129,0.034122002461290254
uniform,64,130,0.39278982914919391
importance,64,130,0.35226890899154861
missing_half,64,130,0.049098728643649239
uniform,64,131,0.29470311558760043
importance,64,131,0.33116241220917775
missing_half,64,131,0.036837889448450054
uniform,64,132,0.33186859840438454
importance,64,132,0.32595089283609813
missing_half,64,132,0.041483574800548068
uniform,64,133,0.32336941493302379
importance,64,133,0.33741976201929308
missing_half,64,133,0.040421176866627974
uniform,64,134,0.34209011527482114
importance,64,134,0.33672384968823205
missing_half,64,134,0.042761264409352642
uniform,64,135,0.33077079378718544
importance,64,135,0.32269064825181892
missing_half,64,135,0.041346349223398179
uniform,64,136,0.28437522236594376
importance,64,136,0.30523106330205396
missing_half,64,136,0.03554690279574297
uniform,64,137,0.37633584032687095
importance,64,137,0.35304144848428676
missing_half,64,137,0.047041980040858869
uniform,64,138,0.32886088658922596
importance,64,138,0.31729797437157004
missing_half,64,138,0.041107610823653246
uniform,64,139,0.28485444710834734
importance,64,139,0.31522034199948623
missing_half,64,139,0.035606805888543418
uniform,64,140,0.31935824166505922
importance,64,140,0.32558039041483366
missing_half,64,140,0.039919780208132402
uniform,64,141,0.33025092434814746
importance,64,141,0.33615875939209577
missing_half,64,141,0.041281365543518432
uniform,64,142,0.33314195026935889
importance,64,142,0.33713109539100805
missing_half,64,142,0.041642743783669861
uniform,64,143,0.32410756400973884
importance,64,143,0.31777467181384311
missing_half,64,143,0.040513445501217354
uniform,64,144,0.31041785921906112
importance,64,144,0.33423032289733029
missing_half,64,144,0.03880223240238264
uniform,64,145,0.24720202496272606
importance,64,145,0.30295661676347291
missing_half,64,145,0.030900253120340757
uniform,64,146,0.34662381305633921
importance,64,146,0.34305080921771108
missing_half,64,146,0.043327976632042402
uniform,64,147,0.29308339472937744
importance,64,147,0.30166517234241275
missing_half,64,147,0.036635424341172181
uniform,64,148,0.30149594503117727
importance,64,148,0.32598755889713021
missing_half,64,148,0.037686993128897159
uniform,64,149,0.39508275392866238
importance,64,149,0.34877442597880726
missing_half,64,149,0.049385344241082797
uniform,64,150,0.35329862847591526
importance,64,150,0.3523983206612552
missing_half,64,150,0.044162328559489407
uniform,64,151,0.39197978860337307
importance,64,151,0.34546026399886248
missing_half,64,151,0.048997473575421634
uniform,64,152,0.2661584217998052
importance,64,152,0.30359214071637042
missing_half,64,152,0.03326980272497565
uniform,64,153,0.29637430930772263
importance,64,153,0.32290782463649087
missing_half,64,153,0.037046788663465328
uniform,64,154,0.36669362566180752
importance,64,154,0.34453457398360809
missing_half,64,154,0.04583670320772594
uniform,64,155,0.31666146290614167
importance,64,155,0.33275217648400662
missing_half,64,155,0.039582682863267708
uniform,64,156,0.27940850519616228
importance,64,156,0.31672511983850837
missing_half,64,156,0.034926063149520285
uniform,64,157,0.37423032729789796
importance,64,157,0.35021670137167465
missing_half,64,157,0.046778790912237245
uniform,64,158,0.3940285079610969
importance,64,158,0.34821016713504832
missing_half,64,158,0.049253563495137112
uniform,64,159,0.30610044874842018
importance,64,159,0.31946342138731498
missing_half,64,159,0.038262556093552523
uniform,64,160,0.35809979878810916
importance,64,160,0.34064592412854666
missing_half,64,160,0.044762474848513645
uniform,64,161,0.32933663949224673
importance,64,161,0.33648342159735961
missing_half,64,161,0.041167079936530841
uniform,64,162,0.37504131801337603
importance,64,162,0.34821835942529816
missing_half,64,162,0.046880164751672004
uniform,64,163,0.32695467836620373
importance,64,163,0.32723216676588518
missing_half,64,163,0.040869334795775467
uniform,64,164,0.33469938306099017
importance,64,164,0.33693210078079883
missing_half,64,164,0.041837422882623772
uniform,64,165,0.34672759879223369
importance,64,165,0.33643740879036838
missing_half,64,165,0.043340949849029212
uniform,64,166,0.29274563739439546
importance,64,166,0.32004154878439967
missing_half,64,166,0.036593204674299433
uniform,64,167,0.34291563071066056
importance,64,167,0.35160695446458701
missing_half,64,167,0.04286445383883257
uniform,64,168,0.37282976695569858
importance,64,168,0.35031143843170609
missing_half,64,168,0.046603720869462323
uniform,64,169,0.3161305332304124
importance,64,169,0.32300291086870603
missing_half,64,169,0.03951631665380155
uniform,64,170,0.34160209018516585
importance,64,170,0.32743671661603962
missing_half,64,170,0.042700261273145731
uniform,64,171,0.2708764522945275
importance,64,171,0.30307333200066006
missing_half,64,171,0.033859556536815938
uniform,64,172,0.28860189770246458
importance,64,172,0.31774733111105397
